Timestamp,Weighted_Price
2011-12-31,4.471602874575
2012-01-01,4.806666666666667
2012-01-02,5.0
2012-01-03,5.2525
2012-01-04,5.208159313655556
2012-01-05,6.2841271510761905
2012-01-06,6.438999047607142
2012-01-07,6.8
2012-01-08,6.95
2012-01-09,6.582769666666665
2012-01-10,6.602999999999999
2012-01-11,7.120684842337494
2012-01-12,7.062499999999999
2012-01-13,6.9692365244187515
2012-01-14,6.414081197579999
2012-01-15,7.15
2012-01-16,6.714285714285715
2012-01-17,6.1483461580375005
2012-01-18,6.240688438936111
2012-01-19,6.225714285714285
2012-01-20,6.834999999999999
2012-01-21,6.386
2012-01-22,6.485
2012-01-23,6.4075
2012-01-24,6.495555555555554
2012-01-25,6.2836637977861125
2012-01-26,6.184091794074999
2012-01-27,5.65142857142857
2012-01-28,4.91
2012-01-29,5.696
2012-01-30,5.544999999999999
2012-01-31,5.6140454556560995
2012-02-01,5.784578347825
2012-02-02,6.170195246214032
2012-02-03,6.205149061870368
2012-02-04,6.0954747419625
2012-02-05,5.839202668429167
2012-02-06,5.52625
2012-02-07,5.672000000000001
2012-02-08,5.742069750966667
2012-02-09,5.7835714285714275
2012-02-10,5.876923076923076
2012-02-11,5.605
2012-02-12,5.637499999999999
2012-02-13,5.648181818181818
2012-02-14,5.19323665560303
2012-02-15,4.945263157894737
2012-02-16,4.577144055188235
2012-02-17,4.690011362803124
2012-02-18,4.398910980869231
2012-02-19,4.331666666666666
2012-02-20,4.557995986628573
2012-02-21,4.484217150443752
2012-02-22,4.542749342733334
2012-02-23,4.889657323899999
2012-02-24,5.138749626680001
2012-02-25,5.038870406285715
2012-02-26,4.954744525542858
2012-02-27,5.049619004523076
2012-02-28,4.991630873960715
2012-02-29,4.952721849259999
2012-03-01,5.003911482863334
2012-03-02,4.765098423823529
2012-03-03,4.760811041077777
2012-03-04,4.793333333333333
2012-03-05,4.9496577627195135
2012-03-06,4.996287446934781
2012-03-07,5.059947778827588
2012-03-08,4.972471257226315
2012-03-09,5.018074118425001
2012-03-10,4.914899488455556
2012-03-11,4.926666666666667
2012-03-12,4.9590000000000005
2012-03-13,5.074693937022501
2012-03-14,5.37487217418846
2012-03-15,5.33782869389375
2012-03-16,5.34076923076923
2012-03-17,5.402222222222223
2012-03-18,5.318928475693334
2012-03-19,5.11387265022
2012-03-20,4.9108234823375
2012-03-21,4.936666666666667
2012-03-22,4.878290967266667
2012-03-23,4.762450717150001
2012-03-24,4.731428571428571
2012-03-25,4.642
2012-03-26,4.626121242606668
2012-03-27,4.785504216329413
2012-03-28,4.892921830539586
2012-03-29,4.827698761333334
2012-03-30,4.836740067071427
2012-03-31,4.9086644633
2012-04-01,4.816418011217646
2012-04-02,4.932927819879546
2012-04-03,4.968666666666667
2012-04-04,4.936244503809525
2012-04-05,4.959276106614285
2012-04-06,4.923051811154167
2012-04-07,4.83019278485
2012-04-08,4.769042307006667
2012-04-09,4.799090909090909
2012-04-10,4.822065650461537
2012-04-11,4.867793801124243
